excerpt_a,excerpt_b,pair_id,symbolic_similarity,embedding_similarity,similarity_gap,similarity_mean,symbolic_global_similarity,symbolic_core_similarity,pitch_similarity,rhythm_similarity,texture_similarity,harmony_similarity,experimental_chromaticism_similarity,experimental_texture_similarity,experimental_rhythm_similarity,experimental_phrase_similarity,experimental_musicological_similarity,title_a,composer_a,title_b,composer_b
chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m032,mozart-1st-movement-allegro-from-piano-sonata-facile-c-major-kv-545-mvt1_m001_m064,chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m032__mozart-1st-movement-allegro-from-piano-sonata-facile-c-major-kv-545-mvt1_m001_m064,0.962888316769066,0.9131942847248365,-0.04969403204422951,0.9380413007469512,0.962888316769066,0.962888316769066,0.9998235650361483,0.7707525568507442,0.9682239589431367,0.9999993776987801,0.9833659611919208,0.953346899712333,0.9977533049112535,0.9495758451727823,0.8884539875140446,Nocturne No. 2.,"Chopin, Fryderyk",Piano Sonata No. 15 in C major,"Mozart, Wolfgang Amadeus"
chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m032,mozart-fantasy-d-minor-kv-397-385g-mvt1_m001_m032,chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m032__mozart-fantasy-d-minor-kv-397-385g-mvt1_m001_m032,0.9802965412015736,0.8270946803925197,-0.15320186080905396,0.9036956107970466,0.9802965412015736,0.9802965412015736,0.9956023204197435,0.9371899145015975,0.9625156971432283,0.9999996176382604,0.990648803683157,0.9515778083159562,0.9991981408740098,0.9941311466685829,0.9512765687808432,Nocturne No. 2.,"Chopin, Fryderyk",Fantasy in D minor,Wolfgang Amadeus Mozart (1756-1791)
chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m032,mozart-fantasy-d-minor-kv-397-385g-mvt1_m001_m064,chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m032__mozart-fantasy-d-minor-kv-397-385g-mvt1_m001_m064,0.9835463517402713,0.7779056973051784,-0.20564065443509283,0.8807260245227249,0.9835463517402713,0.9835463517402713,0.9999032739885437,0.9135470851892256,0.9820556114591489,0.9999997217342144,0.9929282698719989,0.9894563216897381,0.999671752852742,0.9991354045750988,0.9693292322210951,Nocturne No. 2.,"Chopin, Fryderyk",Fantasy in D minor,Wolfgang Amadeus Mozart (1756-1791)
chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m032,mozart-piano-sonata-a-minor-kv-310-300d-mvt1_m001_m032,chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m032__mozart-piano-sonata-a-minor-kv-310-300d-mvt1_m001_m032,0.9956093343696082,0.917264157208322,-0.0783451771612862,0.9564367457889651,0.9956093343696082,0.9956093343696082,0.9996255066739705,0.6024637196252793,0.974587903637975,0.9999999093772933,0.9850264242530854,0.9622679438814744,0.9993511170507027,0.9993943933795288,0.9659739994295136,Nocturne No. 2.,"Chopin, Fryderyk",Piano Sonata No. 8 in A minor,"Mozart, Wolfgang Amadeus"
chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m032,mozart-piano-sonata-a-minor-kv-310-300d-mvt1_m001_m064,chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m032__mozart-piano-sonata-a-minor-kv-310-300d-mvt1_m001_m064,0.9945294578090877,0.9120662833917073,-0.08246317441738049,0.9532978706003975,0.9945294578090877,0.9945294578090877,0.9992996063487579,0.7565463058821164,0.965914360573418,0.9999996832998274,0.9859822037144838,0.9510332931847763,0.9996220982723725,0.9912612037317935,0.9140170015512094,Nocturne No. 2.,"Chopin, Fryderyk",Piano Sonata No. 8 in A minor,"Mozart, Wolfgang Amadeus"
chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m032,mozart-piano-sonata-f-major-kv-332-300k-mvt1_m001_m032,chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m032__mozart-piano-sonata-f-major-kv-332-300k-mvt1_m001_m032,0.9564145867492524,0.9291319147091,-0.027282672040152445,0.9427732507291762,0.9564145867492524,0.9564145867492524,0.9815526295848208,0.5824813301608636,0.9915536968714042,0.9999980114517532,0.9890776543378299,0.9876219864670001,0.993779798644492,0.9702778654946896,0.9281139968698665,Nocturne No. 2.,"Chopin, Fryderyk",Piano Sonata No. 12 in F major,"Mozart, Wolfgang Amadeus"
chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m032,mozart-piano-sonata-f-major-kv-332-300k-mvt1_m001_m064,chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m032__mozart-piano-sonata-f-major-kv-332-300k-mvt1_m001_m064,0.9758298936109006,0.8925056856641866,-0.08332420794671391,0.9341677896375435,0.9758298936109006,0.9758298936109006,0.9987921340318042,0.8929092286589922,0.9846920238772863,0.9999997566320115,0.9911813478586068,0.9784414474019144,0.9887166229522925,0.9762242377172418,0.8972083664404403,Nocturne No. 2.,"Chopin, Fryderyk",Piano Sonata No. 12 in F major,"Mozart, Wolfgang Amadeus"
chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m032,mozart-rondo-a-minor-kv-511-mvt1_m001_m032,chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m032__mozart-rondo-a-minor-kv-511-mvt1_m001_m032,0.9919345022247977,0.8980729474993534,-0.09386155472544433,0.9450037248620755,0.9919345022247977,0.9919345022247977,0.9978846608693509,0.9398761966750969,0.9943016515353683,0.9999989198969029,0.9844025718097446,0.9953905873810515,0.9976905060462589,0.9945437645327411,0.9556200805922541,Nocturne No. 2.,"Chopin, Fryderyk",mozart_rondo-a-minor-kv-511-mvt1.musicxml,Music21
chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m032,mozart-rondo-a-minor-kv-511-mvt1_m001_m064,chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m032__mozart-rondo-a-minor-kv-511-mvt1_m001_m064,0.9938083954877857,0.9514269364968261,-0.042381458990959575,0.9726176659923058,0.9938083954877857,0.9938083954877857,0.9996484476491964,0.9448084701584054,0.9735852822821092,0.9999998396829901,0.9875963222326916,0.9654855077918112,0.9996935402990016,0.9977184833948902,0.919569846629214,Nocturne No. 2.,"Chopin, Fryderyk",mozart_rondo-a-minor-kv-511-mvt1.musicxml,Music21
chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m035_req064,chopin-prelude-a-major-op-28-7-mvt1_m001_m032,chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m035_req064__chopin-prelude-a-major-op-28-7-mvt1_m001_m032,0.9695863622134553,0.9444680272090389,-0.025118335004416403,0.9570271947112471,0.9695863622134553,0.9695863622134553,0.9865817150178177,0.9343326571131053,0.9711362149239031,0.9999983100643782,0.9809359959880061,0.9614505019311438,0.09272265155535997,0.866562758663076,0.7510552665625851,Nocturne No. 2.,"Chopin, Fryderyk",Preludium No. 1,"Chopin, Fryderyk"
